Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Philippines,"18,0636871039","20,3354704277","20,1488547009","22,0151806571","23,7778843541","23,4381217668","22,2123964949","23,5355765992","22,5842131724","22,382191035","21,3435933782","21,0187206179","20,7511912548","21,8134844326","26,9463894382","30,8531727652","32,8580075622","30,6274965452","30,779855186","30,8304583539","29,0864783035","27,4627480504","27,8752873002","29,5949083796","20,3475435716","14,3468156948","15,2371458087","17,4988722311","18,668213248","21,6004425984","24,1511385146","20,2183314089","21,3383951422","23,981370769","24,0628093745","22,4505246987","24,0158256144","24,7757591142","23,3863630034","18,9582173419","18,3675985563","22,1414291584","24,4704655396","22,980488968","21,6115958071","21,5504060304","18,0090522905","17,3373446113","19,2880583308","16,591560016","20,5407242617",
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,"27,6529947917","28,8743920327","28,8386018578","32,5944101496","38,4830969238","24,3324084557","18,9118487767","14,4104221761","14,7741750982","16,7411492579","18,7161573088","20,8753515325","23,4293775335","25,061490892","25,2594308445","24,8497403201","20,7709694137","18,6238062376","18,7424391216","20,0686180557","19,2662071266","21,0524031844","24,4453093597","23,9015486518","20,3643683106","20,9524489141",
Portugal,,,,,,,,,,,"27,8666975163","25,8966581448","28,5035681186","31,0093976828","29,4092781517","19,2920578942","24,5757407592","29,8748549085","31,3612379181","30,3468965315","33,7448193547","35,5549031768","35,089103313","29,0809892453","22,8701537469","21,2285711258","22,9829478591","27,15500677","30,2220399744","28,0625112054","27,4948391882","25,5285716254","24,7423643944","21,964677395","22,7634184565","23,9958834666","24,2079460181","26,2446624134","28,1072510906","28,7138024665","28,4296114656","27,7162156032","25,7406443058","23,4890922739","23,98339054","23,5467077897","23,0505161779","22,8277123917","23,1519841194","20,2079362103","19,6083123951",
Puerto Rico,"23,4647449944","21,446574049","25,6498716967","23,7215345744","25,7041718722","29,3199180267","27,6263492233","26,0563361873","26,6673365405","27,1123356563","28,8404246307","30,2388998587","29,9762988653","25,6030174168","23,4137518218","27,0528391881","22,0067810203","15,0975193321","16,6117335706","16,3999995844","17,1362070334","14,3384492394","9,0365183294","10,1078917823","13,7533534657","12,3247830778","10,280663631","13,7147159738","15,5868955478","17,2768057325","16,9541026877","15,5976080718",,,,,,,,,,"17,5690476639","16,1938400106","15,5278186867","15,5326424186","14,7913933956","14,1731271218","13,5601555109","12,2817256389","10,5485897697","9,4900265426",
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,5240839696","35,0854097317","35,7654058656","35,4318648252","31,9742817736","18,882312518","20,1512854624","29,1196741855","32,6471255888","34,8656946406","33,4489756978","35,0044042741","33,3334847054","37,5674048167","40,2538009345","38,9291901861",,
Romania,,,,,,,,,,,,,,,,,,,,,,"36,2995029662","33,7228485015",,,,,,,,"30,2482806854","28,0457371024","31,405494593","28,9277197189","24,8091355163","24,2737620808","25,8538399082","20,6271643541","17,7458056476","16,0776326377","19,5042395532","22,5522460217","21,679941007","21,8494570543","22,323891185","22,6165168411","23,7302529115","29,021892788","31,4","30,5420963575","31,3541462062",
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,8394408435","30,130393294","36,2674290957","34,6133613887","27,0071715935","25,5374539501","25,4392719636","23,6676959857","21,9765208111","14,9642531183","14,8304030519","18,6938786684","21,9497741402","20,0505697574","20,8589584802","20,9012750794","20,0774969175","21,1715918033","24,1645140336","25,5012197087","18,9252038549","22,8419970802",
Rwanda,"6,0504189966","6,5573762236","7,9999995085","7,8125","8,3076926349","9,8118310279","9,6640978245","7,307595068","8,188152458","6,6242700271","7,048658276","9,1318040264","9,5594711252","9,4262299038","10,4602504858","13,738868245","13,8193024751","15,0635197399","16,607030413","12,030778648","16,1403830706","13,2990865559","17,7782204197","13,5305823176","15,8065743075","17,3093506071","15,8748147363","15,6646115983","14,4924368599","13,4260150939","14,64998321","14,0217499676","15,6340960471","16,7470208656","9,9825089932","13,4091330048","14,3704263708","13,8097794431","14,8076611296","17,2274776018","18,3011700436","19,0310465035","17,6993913276","17,9361114594","15,0331201854","15,7803277398","16,0016082067","18,0365686195","22,7021399969","21,5633073348",,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,"38,166047088","27,1783783784","34,5868152275","38,1481481481","30,1571709234","33,9616810878","37,1942892613","30,1692226335","30,3181386515","27,281667978","33,557001027","55,9444444444","58,1178903826","55,3972293085","42,927774792","39,0322291934","45,3408930046","38,0591260767","46,2937373997","45,8717924585","44,0296495957","42,9734193548","35,6630592668","46,6709473732","49,1836944151","46,2232580827","39,4110833381","36,5154943363","36,242750926","33,1560431827","36,4628232051","35,2540774455","30,9786287859",,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,"34,3373493976","34,2456089135","33,4726212581","21,7134912264","19,5531251175","24,1390105018","24,6079396325","24,5202004767","29,9091559777","34,6304770058","25,79120347","25,3362751018","24,0665131104","24,8","23,8999990108","18,700000989","21,3968087889","25,5963875576","24,3943388335","26,7653240773","28,9096161651","25,6106245413","23,0762944972","23,2900526286","26,3576152887","30,6203318019","39,3552232954","29,9952114175","32,3172547328","29,8041073393","33,495970124",
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,"34,0091231627","27,0227308854","32,769398016","38,2177731376","31,4567241038","27,905162325","24,6179899181","27,5720180396","28,0366165759","29,0076128386","32,2646972761","30,1609081072","28,8218090662","29,7312953136","29,4424214719","24,2642276778","25,6417819576","28,2282001071","29,9374552356","27,9963174528","30,8142400384","35,6793314886","34,4069461185","23,3397056122","23,1029309775","23,2073083227","27,5660429266","26,550271027","26,5994482541","28,4614873181","27,2374462963","28,2165150411","22,6069995277",,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,"27,6296315013","24,4507096626","16,780978168","19,6261555466","16,4092115411","-17,3755100679","30,2828778387","16,9638404308","30,5851022643","30,4485313077","36,1463564547","26,1897991038","22,7999200289","21,0078629507","25,6928155593","34,1915248046","32,6420226772","21,4530728609","19,459489313","17,7181840338","19,6883186263","19,4450340693","15,0687199708","19,4448867374","22,5206641147","24,5919352531","19,8543253591","19,7906733205","18,0967185406","18,3001520613","22,4193629408","21,1430298814","18,7116238188","18,8829945457","19,674091708","19,8187281892","19,1909422","18,2395920542","18,7260825064","21,4454460505","22,168493788","27,2702878307","22,0031558321",
Senegal,"3,9409663035","4,4477912212","3,6467362576","4,8981257173","5,1104807606","5,1038890317","6,5403352733","9,8433833786","9,6234753201","11,6294123458","13,9924667118","15,1477976698","15,1343905911","16,5521116663","20,5303385731","16,6283561049","14,6339689213","15,2542790445","15,2598582564","13,3661206121","16,5907324401","24,8899583242","19,9005812274","19,939090478","19,3842690797","17,1916142068","11,70499053","14,6645312928","10,9199621925","9,3445669781","9,1390089369","10,7252543242","10,7530116977","10,0177773912","11,1284076779","13,6204956582","11,7343869754","14,7907261213","15,5157012513","17,8932952344","20,4609950708","18,3896291286","17,1760208573","20,8820647141","20,8525304426","29,6760077601","28,2","30,9","30,2","27,9",29,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,1289670328","9,5600055863","10,5249489602","8,781703429","13,8789422529","11,0259447118","14,4999163291","28,2823509269","23,7405622022","24,1261219193","28,9733101285","29,7488485984","22,9893288396","22,8308155025",
Seychelles,,,,,,,,,,,,,,,,,"38,9223194748","40,0202839757","43,2845856446","32,9322748698","38,3161694447","32,630170817","32,3486882875","21,1904522107","21,6740005617","22,6989791684","22,7977256796","19,765026148","25,5431937173","27,1395749569","24,5742463525","22,3120044442","21,2092562579","28,3922462942","27,0594453932","30,3322039501","39,0848732101","31,9091037602","34,59219692","43,250307965","25,1814533345","40,6595517024","25,5991000419","10,37441293","12,73610642","24,7006788727","26,1492915885","29,7250737305","25,5568762271","23,4793130366",,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,"16,2094326969","19,0914714356","13,3811153455","14,279622865","12,7056238896","10,9232526696","10,6364093306","10,1860100576","5,8941844336","8,3255681646","10,0319147196","9,3281590644","8,2999998483","7,6999997651","8,4999999319","5,6000001548","10,0166998819","4,3504988604","5,4955789586","3,4800342464","6,8753486009","6,6552970343","10,1024082953","13,8600389947","10,4762840003","16,9839313001","15,2286997392","13,163526079","14,7162057475","15,3964196426","15,7595275846",
Singapore,"9,7440339465","14,0139332877","15,4928555838","17,1491444962","21,8771639601","21,7289249547","21,7300584238","21,9376979937","24,6429635743","28,3143324079","38,2062627638","40,1091523368","40,8913420748","38,936536814","44,5408238882","38,7762984339","39,5423310428","35,1454134592","37,7358490566","42,0081238773","44,9780169506","44,7522959428","46,2368641914","46,4787357277","46,9534611815","40,8841492685","36,2660128716","36,1461975549","32,8755503342","33,6255877743","35,050134535","33,3901279801","34,6380689457","36,4704810775","32,3058191239","33,2682873068","34,2529037104","37,1911785154","30,0278117293","31,2647922156","33,1834416773","26,7704238555","23,773332635","16,1167406415","21,7472105298","19,9747369873","21,0325701923","21,0706314417","30,2009427811","26,3591130552","23,834505398",
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,"31,1206908667","30,9060830058","32,6201045771","31,2962242917","31,7994765701","33,2014372878","31,2167643625","28,0770388203","24,1582978598","20,5507286483","24,3407138733","34,0666308519","34,2823911573","33,5541736131","27,7966010404","25,9820557252","29,5718272293","29,0828910765","24,6053138398","26,3427934525","28,8740830637","28,0158911827","27,8201441263","27,6510615159","19,8619332361","23,3943844061",
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,1796372989","17,129546385","17,777175641","19,3458980687","20,5775295584","23,6732660455","23,3242987575","24,5564270483","25,6526061195","27,7174852766","27,4246082389","25,0429929556","23,9682327913","25,380156868","27,4823485824","27,1587956785","28,9169513564","31,9550213783","31,9350195401","22,5053486062","22,6253124743",
Solomon Islands,,,,,,,,,,,,,,,,,,,,,"25,0714285714","23,3742331288","20,6557377049","25,3140096618","15,8074534161","18,0813953488","18,5286103542","23,4309623431","23,9567233385","19,9475065617","20,2614379085",,,,,,,"7,6270784973","6,7562802997","6,1937419631","6,629934062","6,7419044395","5,182569373","9,4054054054","11,3940732298","13,761350146","14,5973009524",,,,,
Somalia,"9,6663970375","9,6347574994","9,6780768886","9,6055340781","9,9786410983","11,1896147729","11,4501740644","12,02287147","12,1728515625","12,3525195366","11,7350098525","11,9476428641","13,5724876827","14,3489603177","26,8736884283","22,526135466","29,8909776167","21,4244122272","28,6884316888","22,9828886819","42,3958157234","27,5646299547","29,2801741781","22,4206267837","24,2001257942","29,8003626947","25,1995763752","33,3009943961","23,8998322357","30,2999231462","15,5000053144",,,,,,,,,,,,,,,,,,,,,
South Africa,"20,4889031428","18,6716384093","17,8895284415","21,2599249632","23,7480299228","26,9245449509","23,9845930906","26,8961186608","24,8936176376","25,7765588037","27,6209823651","30,6805299584","25,8195943354","25,2988848593","29,7895114174","30,7433293277","28,2319767635","26,9519282574","25,1395369172","26,1507445024","29,8597167302","33,3815082509","25,0515396285","24,7694753241","25,0054271289","20,5841788367","19,0843067982","15,7970078365","19,8790153064","20,8657164206","17,7329754339","17,3971320705","14,7461879554","14,3136066718","16,8709035328","18,1742371919","17,2944902778","16,638619251","17,002010424","16,3808264692","15,913172366","15,2920516037","15,8721050375","16,6522466537","18,0748166608","17,9576877591","19,6894120363","21,2726531446","22,0529176097","19,5277150915","19,2567642381",
Spain,,,,,,,,,,,"27,5760518604","25,3519671301","26,5583488804","27,9059852051","30,9663892897","29,2771608514","27,6335377482","25,6374594217","23,5042635329","22,913238301","23,6994824035","22,0801832057","21,9598057324","21,1287569853","20,0276306478","20,2448222791","21,1287508215","22,5212444138","24,6489765873","25,9395530692","26,0955072468","25,2989511316","23,4017186681","20,8711191983","21,0538904661","21,897340146","21,7047409018","22,0639743134","23,4533163544","25,1223398202","26,2776015727","26,3538706995","26,6300606413","27,3842200251","28,2751634282","29,4813334624","30,9837404652","30,9834395944","29,0880451125","24,4203986284","22,9904074098",
Sri Lanka,,,,,,"12,5309252845","14,333693175","15,2373575302","15,8533171597","19,2731936725","18,9475995316","17,0676156584","17,3017642815","13,7361443165","15,7124226999","15,5773789367","16,2103102341","14,4450243085","20,0492206727","25,8212915418","33,7682444722","27,7748367743","30,7614018823","28,8912097762","25,8270133857","23,8226327945","23,6596944404","23,3322997311","22,7775225018","21,7244760631","22,2058896651","22,8701875948","24,2753648747","25,5572347943","27,0271670431","25,7310878563","24,2490834861","24,3861152703","25,1367897004","27,290490468","28,0392803399","22,0040200329","22,0292083859","21,6240833858","24,7306227494","26,8274555179","27,9799093471","27,9521433553","27,5523541365","24,4338707983","27,7879293243",
Sudan,"10,6942863037","14,5815309494","15,0338352888","13,3888787425","13,3139307053",,,,,,,,,,,,"19,7487821186","15,5678532447","13,7702887687","14,240834798","14,6620195047","19,3106374482","18,8606414506","14,7538447806","8,5404103991","9,4920601648","14,3695130893","15,0868446573","4,3292385952","5,190141024","11,1965806184","16,1112354587","19,0473968593","21,7087315423","17,3904332802","14,1236310943","12,4730592639","15,7705462515","17,9490725568","16,8106292147","18,3428800249","17,5893366023","19,4563727761","19,9557541183","22,49533434","28,8831056629","29,5043796595","30,502117523","26,0085793655","25,1904061645","23,3246014954",
Suriname,"36,7607884923","35,6199186992","35,7487922705","36,8181818182","58,3781547373","49,2607284529","29,1934541204","28,0423280423","23,4587488667","22,1674876847","21,3433137771","20,4138209419","24,0438108484","33,6062888962","43,7059142702","39,4623655914","51,3353115727","37,3634945398","32,4269177068","22,8607918263","26,4184194882","31,213092627","27,7003769874","15,6066093255","11,7919342707","14,4403091898","21,9528619529","25,968260448","16,681023344","20,8360982084","10,7725985063","11,369618559","11,1336299226","9,9334659442","13,6896075725","15,2575998107","15,5812447652","17,6432587378","25,4914666667","17,6497938","12,3588641636","28,9011313202","22,0332465451","22,8334675247","22,4486646809","24,8545340104",,,,,,
Swaziland,"19,1579031898","23,4277003272","31,7017673309","34,9162769752","37,9190017375",,,,,,,,,,,,"22,194092827","26,9288956127","47,9068197164","42,6924185644","40,6529088379","31,044120583","30,1884553127","32,7784046405","28,7045914756","26,2180695813","19,9551781754","14,8574795892","23,5492277084","23,9304077407","15,1140509427","15,6493987099","19,7180616817","18,0565926323","17,3544582711","16,0230320728","17,0325149786","17,21750625","19,1038818023","16,6768885881","18,1167707969","22,9662724033","19,3022426807","20,6029147534","15,2707784401","15,0392502891","12,813846308","12,2907884157","11,0478213813","11,0306061212","11,1",
Sweden,,,,,,"28,2188194514","26,7320303998","25,6515693316","24,8535824629","25,3367285025","27,3221800829","24,707492337","23,81833621","22,9938207606","25,2942601825","25,7311586931","24,9841064508","21,9188143118","19,1013157205","21,3734060967","22,6288087651","19,6324788425","19,2915661929","18,9294335028","19,5638096009","21,3123123156","20,0116520235","21,006624514","22,0184568012","24,2144664338","23,5225927132","20,0402480574","18,3775632905","15,3283761759","16,5336580507","17,1591672078","16,5645674154","16,2630600914","17,3931271926","17,7307461908","18,6421046266","18,2189379323","17,4287842267","17,1469078738","16,9884744474","17,7440036109","18,7309473999","20,3201325136","20,2238852549","16,3255536884","18,4496502595",
Switzerland,,,,,,"33,7575042","32,4874461503","32,0519034293","30,9951153824","31,2094361427","35,1383092644",,,,,,,,,,"30,227015017","27,9987762207","25,8178267874","25,2865124249","26,8920885794","26,8739781596","26,7259011796","27,0638015218","28,4258659495","29,8579078484","30,1807674185","27,2885913543","23,7804807508","22,3671703754","23,6226082994","23,388116275","22,5925866399","22,223410767","23,5603047646","22,552357615","23,2265060221","23,064584116","21,2712208994","20,7493554729","21,0293918326","21,602990809","22,1016255839","21,9522337382","21,1649395949","19,2879270172","19,2413557375",
Syria,"13,7063715249","14,4243610926","16,305025011","12,4183606296","11,7440263209","10,3345904088","12,5293873062","12,2643018399","13,9058875866","15,9720172797","14,7937650293","15,9976853407","21,7328787999","13,3807014286","26,8521993544","26,8755243546","33,6912779066","38,1426444849","29,4581588619","28,0813293007","29,5594501437","24,9106753186","25,393558268","25,3217784352","25,4573979686","25,5216192148","23,8587799872","19,5224722816","14,9990944419","17,1209132709","16,5450493426","17,9712675405","23,1735866319","25,9733417119","29,9588422074","27,2","23,9","21,0999993583","22,0748779827","18,765413409","17,2678838512","20,3448020961","20,3211938771","23,2442376064","17,6563079668","18,4069307864","18,854411355","27,7991263865","31,7467185863","30,2062480574","18,8177414399",
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,"35,7315072163","33,295692038","32,3472482096","32,2268406825","29,2914663113","24,8449931413","22,9215344119","33,4445131376","39,1573502733","36,5437294968","28,6693633056","22,3152367294","19,6830764455","15,425410134","17,3355860573","9,41368431","9,7160006534","9,3829234893","9,9962168733","12,203269413","14,2841775938","13,7380847205","22,8151948249","21,2258008708","21,6582371232","22,8119796857",
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,1119330487","26,3352766754","27,2317680845","25,1253523543","24,6495338791","19,7898030127","16,6375945487","14,8997365556","20,1057458132","17,5393904654","16,8155686581","17,4471999415","17,1900119364","19,1668135506","22,5698474447","25,0611607904","27,6333980408","29,6430276002","29,7851370654","28,97006344","28,8524889611",
Thailand,"15,4055563595","14,7636386412","17,9481568323","20,982524854","19,6527790999","19,7366837683","23,0680821978","23,2251027248","24,635254079","25,7995292672","25,5766634484","24,1851363156","21,6931217059","27,0148594989","26,64756315","26,7392024681","23,982683649","26,8897146894","28,1646859769","27,2141705744","29,141923475","29,675310409","26,5165414407","29,9752753417","29,473115297","28,2445793541","25,872312245","27,8747122903","32,5908901075","35,0661168254","41,3537630966","42,8413785365","39,9639460028","40,0097678023","40,2535074989","42,0943350017","41,8162170349","33,6635403247","20,4470732744","20,5000824804","22,8361858489","24,098325081","23,8014854394","24,9684445908","26,7909150138","31,4422760924","28,2973009733","26,4338759562","29,1241000187","21,2408910816","25,9350759405",
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,9922251018","25,5850727388",,,,,,,,,,,
Togo,"10,7744166339","8,06452159","10,185192706","12,8205220589","20,1474317938","22,4400930854","16,3841738617","12,631575014","11,0183640669","13,2184136684","15,0997301188","18,8846709763","20,685572363","21,7439347541","16,3825062844","27,6644000688","24,8648652089","34,3455492779","52,6881607718","48,8138182502","28,4464675489","23,8240892798","21,3333290249","20,5962987319","15,0414283381","16,6335753732","18,8296133536","17,6398503566","16,0272622351","16,519842192","26,5709739859","17,1137538293","15,7113936398","7,4779538726","15,0435071618","16,1297813128","18,7686678138","16,2874821467","16,4373146897","13,3398598067","17,8061929477","20,3697990855","18,5257180891","18,899999423","17,9999993981","18,3291862821",,,,,,
Tonga,,,,,,,,,,,,,,,,"27,5927113167","19,6689750236","20,1975581165","29,5091897845","31,1668681227","30,0558014239","29,5607702675","31,2225254523","29,3462010983","23,9376596413","26,3843345194","24,1313062997","22,1739242264","23,1675759688","20,4453244667","18,4932996276","16,7380346767","17,7278192394","18,0935983722","22,1125543833","26,3024586566","28,1943032476","19,6341836468","21,8193314175","21,3096217105","21,6760025807","24,8261167642","30,4649223786","25,4799557172","23,5535880966","22,0839550719","18,8169810875","19,9099110896","26,3489452845","27,2561689352","29,3595832757",
Trinidad and Tobago,"31,1336483876","25,5584672635","28,0870521427","23,3680507201","22,8450035377","25,9285651147","23,0595625551","17,6079734219","19,8049817285","17,1842915811","25,8563003148","33,9808005789","31,3187615651","25,9535156622","21,8284165563","27,3447659808","24,5546344049","26,6501172472","30,2189582044","29,0916011753","30,6044980709","27,6225844146","28,2495893159","25,5905638876","23,9868259873","18,7641109392","21,5988682052","19,3267673914","13,0677022152","16,5738663401","12,596974148","16,1451392886","13,562725344","14,3305519972","20,2018305305","20,7813963856","24,2741408864","30,1139937848","33,3825474375","21,0097863978","20,0083481905","26,713230268","22,625155445","25,3441540031","19,9295719116","28,840309092","15,6497141034","12,8993629178","11,3597074954",,,
Tunisia,,"17,3334589019","24,0627546457","24,0773012269","25,2560335909","27,9069767442","25,2881976212","25,1929824561","22,9261408186","22,4453632605","21,1487559555","21,5161143895","22,7166276347","21,280291844","25,8043674893","28,0176869186","30,6570098293","30,544276655","30,7580820484","29,4284736482","29,3602598503","32,3282075925","31,7271667638","33,4962333057","35,8991953091","30,1625749825","26,6004692475","23,483877391","20,7098815325","23,9116153453","27,0680584706","25,9884610269","29,1942097506","29,2395826229","24,6442980182","24,7006181166","25,0137677473","24,4588857798","24,9171281845","24,6202573505","26,0826136294","26,1793463196","23,8106816773","23,3232409755","23,2784479318","21,6794440066","23,4495509888","23,827702845","25,9282701948","24,7662835771","26,3561806369",
Turkey,"9,9738731302","9,9360427324","10,6945084682","11,7456273341","10,9762904945","11,3191810401","12,8432729035","12,6467276202","13,4167607476","13,3535825078","14,6905848835","13,7637111027","16,8149432805","15,4752746198","17,891286693","18,7058636053","20,3214287736","20,666855716","15,143372376","14,5037974074","18,1641109814","17,8693455285","16,9526320154","16,2854709612","16,1803696367","16,5131456295","18,8475799853","25,6665047329","25,1426006678","23,4725869123","24,5492675168","22,7120396231","23,3622714402","26,615609089","21,3205329264","25,4735572675","24,5513149503","25,110786272","22,1135157944","19,1237179853","20,7667982569","15,084053896","17,6140517888","17,5967667965","19,3900718119","19,9895891357","22,0548528949","21,4846560927","21,7818343737","14,9377423915","19,9306703553",
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,4330708661","33,5820895522","35,2112676056","40,1315789474","45,9183673469",,"36,9261477046",,,"49,4380587484","38,6810456575","45,4948195784","39,6689270044","34,7386559449","31,712661212","27,5596816976","25,4187357967","23,053619369","22,9183114993","19,5002034775","18,6","31,7","50,5","58,6",
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,"10,9640679541","10,1803675816","11,1481403596","12,8054475032","12,0876208583","11,23773346","11,497730711","13,4607034303","13,0904183536","14,0170121002","14,0046682227","16,1019460634","11,6431924883","8,7199736756","11,6152696644","8,0523639103","6,2517876844","6,0496794872","8,2815363058","6,5801007468","6,1545383694","5,6083152621","9,0929965557","7,4096116649","8,1398353245","8,7320184514","8,446924524","9,7182158854","10,7923497171","11,1362280233","12,704080038","15,1712651209","15,9389277366","15,2457864756","14,6818263425","12,4120253617","20,1726894202","18,1785564881","16,4471450745","19,5491206384","19,4838217152","19,3020594183","20,2174228041","20,9841415786","20,1456899168","22,3551458572","21,1303700249","22,083055269","22,9771172854","24,1274816933","23,7447205913",
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,8813842202","27,4638153761","26,3493611365","34,4523098089","36,292513796","35,3314458005","26,6832081449","22,6707877247","21,4459376764","20,8172097231","17,5129543353","19,6301522902","21,764043293","20,1487976618","21,9701957029","21,1342371919","22,5847883802","24,7614182041","26,6536336026","27,9395942856","17,059818579","19,3495016933",
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,713862503","21,7830399207","21,4375183396","19,3088775708","19,2419600914","18,2037406643","23,7612546094","22,5036258926","23,8697427994","25,2721125153",
United Kingdom,,,,,,"20,3300489682","19,8153623736","20,4885643198","21,2106361543","20,5953730237","20,0933616888","19,6524557501","19,1146909578","22,5032624708","22,7526005357","19,2590315991","20,9956925558","20,5160737545","20,1655543676","20,4066701613","17,5998353232","15,9896050788","16,6345223184","17,4358006165","18,3605980971","18,2447934807","18,049641654","18,9989852216","21,3853419991","22,1130305326","20,1829617927","17,1739072334","16,3954796811","15,9427755596","16,6588983632","17,1499837712","16,8802112249","17,2863557559","18,3986386882","18,0994992846","17,6575005992","17,4727517435","17,0895916561","16,7595338416","17,0733634405","17,0414863525","17,5094479364","18,2618957516","16,9913590493","14,2077290735","15,4200148388",
United States,,,,,,"20,2677837475","20,2075893831","19,125787071","19,1886355746","19,4291200135","18,0132708821","19,0728595813","19,9265306122","20,7186153509","19,9273167777","17,4387088826","19,1255320325","20,6396503774","22,0166959578","22,1741694515","20,2673893406","21,2771441459","18,7037209158","18,7116826827","21,3644754384","20,2972662971","19,6926553672","19,4087978037","18,7182678441","18,6848539442","17,6758016276","16,2898140186","16,4872720304","17,0608698294","18,177398367","18,1538209964","18,5831688406","19,4307515291","19,8707241734","20,3214708096","20,5752212389","18,9898279248","18,3650922551","18,3484832089","19,3315442378","19,8899814781","20,1174247537","19,1268310111","17,4415432716","13,9214985098","15,0527160623",
Uruguay,"22,216837748","23,6404688541","19,4083731364","17,3141023222","14,4528559188","13,7218798994","16,5452717536","18,7486959373","13,8585029742","14,9524117994","3,3959957437","17,732156887","17,1588606533","34,1082989994","15,8541881518","18,8980687699","20,9588961918","21,4856149406","22,7101689236","24,041499803","17,3463190317","21,3904635717","19,7965181608","14,2535413551","12,1267005046","11,3787729385","11,1816619836","14,2951201316","14,669747549","12,0664635543","12,2008510128","15,1253447103","15,3848955969","15,6412955091","15,8716341305","15,4077114197","15,2402122742","16,8452933916","17,3375780881","15,0753309572","14,4570209014","14,3279397813","13,0729059453","15,206308841","17,4684628032","17,6988581513","19,4605734146","19,5260553002","23,2080945951","19,5838648742","19,0677161978",
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,5525688511","27,2198011712","31,6633005408","32,1691992698","26,8165519348","19,8081000436","14,6183258119","18,2853558085","27,2393587101","29,1838111612","21,6660985023","20,1743308303","17,518147567","16,3471805372","19,5894931482","20,314855258","20,1866332792","24,3744164424","26,5248000929","19,0998733098","20,8971826889","25,3","26,1","26,4611182063",
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,"23,8051731335","19,8646940748","25,8234217749","28,586041388","33,1129974951","26,714801444","33,019205535","33,2272678244","26,0702602759","21,0781889304","21,2402151572","23,2065196098","22,6366167105","19,7145047643","18,8364249578","17,1460176991","18,9928307123","19,9139980236","18,3537886873","18,7702443041","17,3291893021","19,1987999213","20,1740911418","22,6836269023","24,8423077635",,,,
Venezuela,"21,8748020853","21,5159093193","21,4650565359","20,1323682717","25,7907082464","24,8188411552","23,9715706022","24,0033225143","28,7203792477","29,6262535307","32,8870288631","32,1804506057","33,149168442","30,9826586845","26,1645958665","32,7821712809","36,1318377485","43,0777428641","43,9166265449","33,1985420348","26,3935512512","24,4252014453","27,6895952732","12,2063033007","18,1200924698","19,1485144546","20,8108800078","25,1854839066","27,8859761439","12,7006722234","10,2199353211","18,6780080408","23,7212884574","18,7509935545","14,1563417993","18,1138892124","16,5547477549","27,6725251281","30,6604025312","26,5167782747","24,1703919916","27,5241676946","21,1588880529","15,2174422722","21,7984644402","23,0040335685","26,9219128434","29,196187396","25,8883543521","24,774966355","20,8203620924",
