Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Canada,,,,,,"25,6996657396","26,3866207612","23,6221409035","22,7567602178","23,5610258544","21,519422482","22,4547643479","22,5687589275","23,917460219","25,7124865293","24,9756653861","24,5837375121","23,6490430958","22,8388129551","24,5452952138","22,9838735329","24,8114272715","19,2913686394","19,7729140029","20,5088282004","20,9108652417","21,0974341565","22,0884195159","22,8583218887","23,2843971976","20,911252925","18,7839507884","17,7976530379","17,846377258","18,8723693786","18,7588996404","18,1877820052","20,7333361277","20,3877054296","20,3021860855","20,2308799092","19,1812990051","19,2951717618","19,990273456","20,7232749712","22,0750521347","23,0208114285","23,2397068755","23,237733392","20,8665879652","22,2044333156",
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,8091465941","28,468688427","22,2050662349","23,9365919245","22,9015003603","26,2223657251","34,4531911431","39,7420494337","43,3521990892","42,4349154484","24,1106195224",22,"19,8","20,9","30,7065481235","31,6790724353","35,8200438756","31,0233262355","39,4658478287","36,0325112693","38,0458266416","46,9781449297","46,567389221","39,4090870983","47,126410085",
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,"19,6363556746","21,1920526209","23,2786931479","21,766556949","22,1264357331","21,4092140921","21,1340180412","21,8362332506","16,2191162217","16,3656809951","17,9836725248","18,7486064341","18,4335091538","20,8458197337","15,5018226961","13,80130839","11,9662600841","11,5539360097","10,8868706704","9,7941979068","7,0071256","8,7394057897","6,6693745614","11,8326550466","12,3071418635","15,3840610483","12,8034460802","12,5188678183","10,362043422","11,5118330475","12,3082788286","12,4053431877","12,1612615152","10,1706712926","11,7","13,5","4,3031421264","9,8","13,54","14,4","9,5182443657","8,3584534889","8,9579569481","6,1097176358","6,1625490465","8,9128702189","9,2449363336","8,9626785396","11,630045045","10,759371731",,
Chad,"13,5736312013","14,7800441149","11,6723096356","15,1239938406","14,9853211257","11,031939799","13,1527315634","15,6561652643","15,0434606122","16,8543400931","16,092622648","15,8907709774","14,7506384975","15,2303365544","18,4747648736","20,5280559519","17,0543138408","18,5147556593","16,2312452865",,,,"3,1617639216","2,7328972888","4,8303972354","7,3023724782","8,1329399928","9,129483064","7,035497301","8,0310743689","6,7535074602","6,543070253","7,4681139241","9,7593018545","16,6399110709","13,1924876043","20,2501604926","19,4847788569","16,9342205132","13,6915005969","23,2739022183","40,2503769156","60,1561730272","52,1217743267","24,2838719165","17,9500066942","14,3512962134",18,"24,8","33,9","36,8",
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"17,4129123505","18,1632587376","15,2944906798","17,9380703053","17,3622065438","18,2626896913","18,9189189189","18,75","18,9928057554","17,8039438218","19,2041864139","17,2015011105","14,7036790411","10,4690685098","24,8390330442","16,9671933293","15,6937526997","17,3465723735","21,0298104884","21,0566383817","21,0223928685","22,6968535309","11,2821202414","9,8542086826","13,6765860035","17,1933760088","18,8844261933","22,1700043762","22,6906366619","25,2692815174","25,1826353258","22,3807410161","24,1319334613","26,9310721184","24,852340071","26,1848196964","27,38275399","27,7225985953","26,8988043287","20,9025787819","21,8558848545","22,0876996061","21,6566386129","21,1067346458","20,0395224526","22,1970182239","20,0559993178","20,4847111217","25,2375265575","18,8720459005","21,4463234024",
China,"35,5392429003","18,1127097773","10,5135813565","16,4783438899","20,0950242215","23,1659056411","27,1332990158","19,4407748721","19,1312160976","19,8436456264","29,0242767134","29,5470563966","27,4028006418","29,4395346171","29,0125120697","30,1678145069","27,9281287976","28,4927794038","37,8003942324","36,4027962389","35,1922738472","33,3265189304","33,5161738738","34,1959179566","34,892690168","38,3484915705","38,3632435378","37,0026371221","37,8932113702","37,268056708","36,1424484942","36,1223974474","37,4628112987","44,4833431917","42,2032910148","41,8959530346","40,4415215113","37,9471464931","37,1012535248","36,7446502448","35,1186379369","36,2676922915","37,8658537249","41,2029630734","43,263146756","42,0990092057","42,9717526098","41,7377345783","44,0462710511","48,2434271385","47,7791237332",
Colombia,"20,205690713","20,4364617844","18,0789468982","17,6446618083","17,4590975995","17,6687895575","20,4319115148","18,4647345356","21,16349328","20,4728312644","20,3362259822","19,2448334193","17,9311648802","18,0950822701","21,4030484094","17,0324952911","17,6602106209","18,7143259594","18,2520476955","18,1693232933","19,0611285637","20,6276757426","20,5021587332","19,9074244667","18,9545984944","19,02984871","18,0011626475","19,0607693142","20,6455392711","18,4904612749","18,5039423597","15,9499293685","16,7148807688","21,2810701786","25,5384467491","25,7987433288","22,150938659","20,923750624","19,7280791808","12,8801341708","15,0458542744","16,1025024734","17,0487086262","18,6452867257","19,424242759","20,2254336246","22,1659175093","22,6584034686","22,6736953706","22,3715693408","23,7347088038",
Comoros,,,,,,,,,,,,,,,,,,,,,"33,1685465377","26,9878530798","31,3839136737","30,2640240964","44,9603973978","32,792208904","23,5880574121","25,2460409959","21,8347469867","17,3951447052","19,6668331522","13,2414189286","20,5228646853","19,3040518812","20,6836369278","19,4569875132","19,4205717387","15,8477478836","17,9543141349","14,9598178669","10,0931259333","10,0525021692","11,0110002056","10,3050658244","9,358424656","9,3091613806","9,6266725274","11,1710326341","14,2814537734","12,3981981602",,
